Time(fs),ZINDO,LC-DFTB,STO-3G,3-21G,6-31G,def2-SVP,def2-TZVP,def2-QZVP
422,4.71111,6.096918,6.587363,5.842968,,,,
423,4.701994,6.078946,6.572533,,,,,
424,4.686157,6.053155,6.549784,5.81162,5.724544,5.605004,,
425,4.665476,6.021964,6.521266,,,,,
426,4.642918,5.988881,6.490409,5.763619,,,,
427,4.621747,5.957668,6.460884,,,,,
428,4.604849,5.931634,6.436775,5.720353,5.633821,,,
429,4.593965,5.912858,6.420312,,,,,
430,4.589665,5.902492,6.412693,5.700462,,,,
431,4.591352,5.900388,6.413455,,,,,
432,4.597883,5.906071,6.421455,5.707591,5.620406,5.50522,5.40549,
433,4.607924,5.918572,6.434952,,,,,
434,4.620441,5.936842,6.452367,5.733796,,,,
435,4.634836,5.959754,6.472313,,,,,
436,4.650455,5.985891,6.494137,5.769497,5.681958,,,
437,4.666918,6.014113,6.517076,,,,,
438,4.683408,6.042838,6.540178,5.808028,,,,
439,4.698783,6.070371,6.562247,,,,,
440,4.711872,6.095135,6.582193,5.842424,5.755048,5.63491,,
441,4.721423,6.115229,6.598492,,,,,
442,4.72692,6.129832,6.610465,5.865308,,,,
443,4.728443,6.13856,6.617812,,,,,
444,4.72662,6.141909,6.621132,5.873771,5.785606,,,
445,4.72262,6.14114,6.620751,,,,,
446,4.717613,6.13764,6.617976,5.870669,,,,
447,4.712416,6.132572,6.613704,,,,,
448,4.707599,6.126764,6.608615,5.86188,5.77279,5.65306,5.550554,5.527833
449,4.703409,6.120509,6.602982,,,,,
450,4.699735,6.113588,6.596751,5.851022,,,,
451,4.696579,6.105789,6.589866,,,,,
452,4.69383,6.096948,6.58222,5.83875,5.749769,,,
453,4.691436,6.087138,6.573839,,,,,
454,4.689449,6.076942,6.565213,5.825308,,,,
455,4.687545,6.066535,6.556151,,,,,
456,4.685368,6.055996,6.546927,5.811593,5.723836,5.604759,,
457,4.682211,6.044596,6.53724,,,,,
458,4.677531,6.031585,6.52679,5.796763,,,,
459,4.671082,6.016626,6.515307,,,,,
460,4.663,6.000182,6.503334,5.779511,5.692625,,,
461,4.654075,5.983513,6.491416,,,,,
462,4.64534,5.96818,6.480422,5.761851,,,,
463,4.637666,5.955268,6.471143,,,,,
464,4.63138,5.945157,6.463714,5.747293,5.660515,5.544159,5.443885,
465,4.626319,5.937873,6.457891,,,,,
466,4.621938,5.933227,6.453075,5.735973,,,,
467,4.61772,5.931062,6.44883,,,,,
468,4.613883,5.932045,6.445809,5.727483,5.640733,,,
469,4.611189,5.936649,6.444966,,,,,
470,4.611489,5.946198,6.448612,5.728626,,,,
471,4.616659,5.961801,6.45898,,,,,
472,4.62806,5.984158,6.477511,5.752055,5.664978,5.54718,,
473,4.645993,6.013304,6.504423,,,,,
474,4.668959,6.047806,6.537729,5.801307,,,,
475,4.694347,6.08514,6.573893,,,,,
476,4.718647,6.121423,6.608533,5.860138,5.772273,,,
477,4.73862,6.152617,6.637459,,,,,
478,4.752117,6.175461,6.657759,5.902561,,,,
479,4.758566,6.188257,6.668398,,,,,
480,4.759056,6.191747,6.670439,5.914969,5.826614,5.705333,5.60163,5.578038
481,4.755682,6.188449,6.666222,,,,,
482,4.750593,6.181248,6.658221,5.904711,,,,
483,4.745369,6.172429,6.64867,,,,,
484,4.740253,6.162583,6.638275,5.88539,5.797525,,,
485,4.734375,6.150807,6.626411,,,,,
486,4.726484,6.135763,6.612071,5.860655,,,,
487,4.715491,6.116389,6.594383,,,,,
488,4.701314,6.092658,6.573458,5.828491,5.741306,5.622882,,
489,4.685177,6.06606,6.550736,,,,,
490,4.669231,6.039277,6.528722,5.794423,,,,
491,4.656115,6.015627,6.510355,,,,,
492,4.647762,5.997779,6.497729,5.772654,5.68623,,,
493,4.644959,5.987128,6.491633,,,,,
494,4.646864,5.98315,6.491089,5.769552,,,,
495,4.651435,5.98378,6.49381,,,,,
496,4.656007,5.985793,6.496749,5.774694,5.688761,5.572133,5.471832,
497,4.658374,5.9863,6.497293,,,,,
498,4.657313,5.983589,6.494028,5.772028,,,,
499,4.652768,5.977297,6.486817,,,,,
500,4.645938,5.968796,6.477157,5.757551,5.671781,,,
501,4.638673,5.960364,6.467388,,,,,
502,4.632686,5.954208,6.459769,5.742258,,,,
503,4.629285,5.952268,6.456258,,,,,
504,4.629285,5.955771,6.458163,5.739619,5.653332,5.536649,,
505,4.632578,5.964689,6.465646,,,,,
506,4.6387,5.978285,6.478136,5.754966,,,,
507,4.647027,5.995484,6.494708,,,,,
508,4.657013,6.01529,6.514191,5.784246,5.69687,,,
509,4.668088,6.036773,6.53528,,,,,
510,4.680061,6.059833,6.557077,5.819757,,,,
511,4.69266,6.084207,6.578764,,,,,
512,4.705477,6.109123,6.599445,5.854941,5.767157,5.64778,5.545738,5.522662
513,4.717967,6.133211,6.618302,,,,,
514,4.729369,6.154756,6.63452,5.883867,,,,
515,4.738865,6.171953,6.647282,,,,,
516,4.745641,6.183291,6.655854,5.90101,5.81377,,,
517,4.748988,6.18747,6.659528,,,,,
518,4.748553,6.183706,6.657895,5.901853,,,,
519,4.744253,6.171949,6.650765,,,,,
520,4.736171,6.153289,6.638248,5.885009,5.798123,5.675972,,
521,4.724851,6.13019,6.620915,,,,,
522,4.710974,6.105045,6.599771,5.853744,,,,
523,4.695436,6.079388,6.576097,,,,,
524,4.679408,6.05394,6.551526,5.815756,5.728653,,,
525,4.66417,6.029243,6.527743,,,,,
526,4.650945,6.005959,6.5063,5.780735,,,,
527,4.640632,5.984963,6.488395,,,,,
528,4.633666,5.967088,6.474436,5.755674,5.669196,5.55382,5.453736,
529,4.629856,5.952984,6.464612,,,,,
530,4.628632,5.94314,6.458435,5.74215,,,,
